title,desc,year,created_at,cast
Punching the Clown,zero tolerance,2009,2020-05-22T00:51:07.000Z,Petronille Sapseed
Miracle on 34th Street,forecast,1932,2020-04-12T21:10:23.000Z,Rhea Cleverly
Call Me Madam,human-resource,1907,2020-05-01T14:14:53.000Z,Ludvig Draper
At First Sight,bifurcated,1951,2020-04-22T04:57:39.000Z,Shawn Rayman
Bingo,neutral,1973,2020-05-23T02:41:22.000Z,Batholomew Upcott
127 Hours,Face to face,1908,2020-04-09T03:18:50.000Z,Nannie Iori
Bright Eyes,system engine,2020,2020-03-31T11:17:48.000Z,Torrey Duckerin
Tommy Boy,discrete,1930,2020-04-19T16:50:20.000Z,Hortense Wickendon
Mr. Hobbs Takes a Vacation,forecast,1896,2020-05-07T09:25:23.000Z,Gustavus Caruth
Children Underground,artificial intelligence,1927,2020-05-02T13:26:36.000Z,Amata Isson
"Man Who Couldn't Say No, The (Mies joka ei osannut sanoa EI)",dynamic,1938,2020-05-06T14:54:38.000Z,Susy Astlet
Bridesmaids,intranet,1983,2020-04-28T00:59:56.000Z,Carr Cunah
Cousins in Love (a.k.a. Tender Cousins) (Tendres Cousines),hierarchy,1929,2020-05-22T01:21:26.000Z,Lindsy Anyene
Dope,zero administration,1989,2020-04-19T05:22:50.000Z,Horton Hillock
"Adventurer: The Curse of the Midas Box, The",value-added,1939,2020-05-23T18:22:28.000Z,Jaclyn Gare
Double Take,static,1935,2020-04-17T20:37:23.000Z,Matilde Glave
Glitter,groupware,1906,2020-03-31T10:10:47.000Z,Lavena Snufflebottom
"Legend II, The (Fong Sai Yuk juk jaap)",protocol,1948,2020-05-02T17:20:57.000Z,Godfry Aspling
Angel of Mine (a.k.a. The Mark of an Angel) (L'empreinte de l'ange),Quality-focused,1929,2020-04-11T16:01:49.000Z,Cammie Gandey
Bad Girl Island (Sirens of Eleuthera) (Sirens of the Caribbean),Proactive,1924,2020-04-25T03:57:57.000Z,Robinet Willerstone
"Seventh Continent, The (Der siebente Kontinent)",bottom-line,1943,2020-05-26T15:12:45.000Z,Oliy Denekamp
"X-Files: Fight the Future, The",pricing structure,1896,2020-05-04T07:52:28.000Z,Culver Cathcart
"Foreigner, The",upward-trending,1986,2020-04-23T18:59:23.000Z,Imojean Stokell
North & South,implementation,1942,2020-05-30T21:31:44.000Z,Inness Everly
Little Big Man,Down-sized,1904,2020-04-11T11:10:07.000Z,Shelby Garatty
"Ballad of Little Jo, The",Graphical User Interface,1985,2020-04-12T13:43:03.000Z,Antony Falla
Pornography (Pornografia),contextually-based,1979,2020-05-23T13:09:22.000Z,Benjamen Faussett
Festival in Cannes,process improvement,2013,2020-04-29T04:04:38.000Z,Sibella De Dei
How to Make Love to a Woman,Distributed,1914,2020-05-12T23:19:50.000Z,Paola Manvelle
"3 Rooms of Melancholia, The (Melancholian 3 huonetta)",Managed,2020,2020-04-08T04:30:41.000Z,Floyd Oliff
Dahmer,Advanced,2016,2020-04-11T16:59:23.000Z,Fionnula Ernke
Quackser Fortune Has a Cousin in the Bronx,global,2013,2020-04-26T06:29:57.000Z,Sebastian Lymer
"Thing Called Love, The",Reduced,2009,2020-05-03T06:20:35.000Z,Veronike Mullin
Spooky House,asymmetric,2017,2020-04-12T21:42:14.000Z,Britteny Balwin
"Citadel, The",Upgradable,1984,2020-05-09T06:49:59.000Z,Euell Glassman
Soldier of Orange (a.k.a. Survival Run) (Soldaat van Oranje),Re-engineered,1933,2020-04-29T18:48:38.000Z,Ryun Colston
Green Light,Grass-roots,1955,2020-05-26T14:29:26.000Z,Erminia Ridpath
That's Entertainment,product,2004,2020-04-02T00:17:51.000Z,Teirtza Dyett
American Ninja 5,Centralized,1992,2020-04-26T03:31:11.000Z,Olivero Mourgue
The Brave Little Toaster Goes to Mars,4th generation,1998,2020-04-06T03:28:59.000Z,Charline Paton
Mad Love (Sappho),static,1914,2020-04-16T09:00:03.000Z,Jacinta Wignall
Fragments of an Alms-Film (Fragmentos de um Filme-Esmola: A Sagrada Família),zero administration,1997,2020-04-25T22:01:37.000Z,Tymon Chaplyn
Burning Blue,architecture,1953,2020-05-09T17:01:56.000Z,Marcela Roach
20 Million Miles to Earth,Vision-oriented,1918,2020-04-05T19:15:22.000Z,Brandon Crisell
Bride of the Monster,interface,1955,2020-04-24T06:37:18.000Z,Rik Carrick
Africa: Texas Style,system-worthy,1982,2020-05-23T03:41:18.000Z,Kettie Houseley
Killers,Pre-emptive,1934,2020-04-29T08:26:07.000Z,Milzie Garnall
Inside Man,Seamless,1923,2020-05-20T13:49:06.000Z,Blanch Minghetti
Twelve Monkeys (a.k.a. 12 Monkeys),upward-trending,1976,2020-04-29T06:06:33.000Z,Adelle Arendsen
Mr. Untouchable,Implemented,1895,2020-05-22T09:39:09.000Z,Giles Bewly
One Trick Pony,client-driven,1921,2020-04-05T15:50:15.000Z,Urban Mewett
King of Texas,Grass-roots,2011,2020-05-11T00:18:30.000Z,Quintana Skitt
Stone Reader,logistical,1889,2020-05-18T05:42:22.000Z,Hugo Altamirano
Conan the Barbarian,Enhanced,1962,2020-05-21T02:25:20.000Z,Loni Burndred
Heavy Weather,capacity,1978,2020-04-15T14:41:55.000Z,Ethyl Simka
The Christmas Wish,architecture,1948,2020-05-27T21:04:39.000Z,Dick Pynner
End Game,infrastructure,1894,2020-05-17T05:40:43.000Z,Sapphira Maren
"Misérables, Les",actuating,1981,2020-04-03T12:04:48.000Z,Luigi Tembey
Super High Me,4th generation,1917,2020-04-23T23:12:19.000Z,Perceval Scriviner
"Monster, The",Compatible,1897,2020-04-26T19:17:48.000Z,Dagny Latey
"Cranes Are Flying, The (Letyat zhuravli)",discrete,1905,2020-05-30T17:58:26.000Z,Star Roland
"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La)",solution,1936,2020-04-17T16:16:20.000Z,Carrie Abazi
Lorna,toolset,1942,2020-04-07T22:04:44.000Z,Terrell Oxbrough
Boomerang,dedicated,2012,2020-04-05T08:30:24.000Z,Kaia Borrington
"Bicycle, Spoon, Apple (Bicicleta, cullera, poma)",asynchronous,1969,2020-05-30T18:05:15.000Z,Olag Harford
Alien Space Avenger,capability,1892,2020-05-02T00:55:17.000Z,Georgeanne Broggio
Delhi-6,project,1930,2020-05-03T14:02:14.000Z,Jackie Belham
Stormbreaker (Alex Rider: Operation Stormbreaker),infrastructure,1939,2020-05-09T16:49:41.000Z,Lon Goodsir
"Demon in My View, A (Der Mann nebenan)",Triple-buffered,1936,2020-05-12T19:35:44.000Z,Jeromy Van Hove
112 Weddings,Secured,1892,2020-04-08T10:53:20.000Z,Christiano Dugood
All is Bright,Organic,1932,2020-05-29T07:06:19.000Z,Hughie Extal
"Story Written with Water, A (Mizu de kakareta monogatari)",customer loyalty,1901,2020-05-14T11:40:01.000Z,Halie Simoneton
Regeneration,database,1987,2020-04-29T19:27:57.000Z,Judon Tuckey
Illegal Tender,asymmetric,1968,2020-05-12T17:33:34.000Z,Arman Bredee
$ellebrity (Sellebrity),contextually-based,1991,2020-05-20T11:41:03.000Z,Tanitansy Scuse
Trance,Persistent,1910,2020-04-25T17:54:12.000Z,Minnie Screeton
Bus 174 (Ônibus 174),Virtual,1976,2020-04-14T08:54:19.000Z,Shamus Rapps
Les modèles de 'Pickpocket',exuding,2019,2020-04-18T11:15:31.000Z,Sherwood Hellwich
Death Wish 5: The Face of Death,mobile,1949,2020-05-04T07:15:30.000Z,Pegeen Spavins
"Lone Ranger, The",didactic,1904,2020-05-03T00:22:23.000Z,Noe Cowper
Someone Marry Barry,Object-based,1950,2020-05-07T02:08:25.000Z,Isiahi Kinge
Blackboards (Takhté Siah),initiative,1945,2020-05-30T06:01:28.000Z,Doyle Brotherhead
All the Boys Love Mandy Lane,Optional,1932,2020-04-06T07:15:24.000Z,Gibb Easter
Fireworks Wednesday (Chaharshanbe-soori),context-sensitive,1939,2020-04-10T06:37:58.000Z,Piper Davenall
Loving Leah,uniform,1895,2020-05-27T05:23:25.000Z,Bernarr Cockshot
Balls of Fury,dedicated,1918,2020-04-04T02:30:36.000Z,Shaylah Dishman
Chasing Amy,User-centric,1994,2020-04-02T23:51:48.000Z,Kathlin Rust
"Bag Man, The",Ameliorated,2013,2020-05-20T21:29:54.000Z,Mar Blaze
Losing Chase,discrete,1978,2020-05-12T10:54:02.000Z,Alix Cullin
Life for Sale (Kotirauha),Virtual,1936,2020-05-09T19:02:44.000Z,Jacquetta Bentson
Frontrunners,Down-sized,1917,2020-04-17T07:50:36.000Z,Mordy Dickin
Isi & Disi: Amor a lo bestia,dynamic,1946,2020-05-14T20:34:13.000Z,Abigale Gamwell
Normal Life,Multi-channelled,1951,2020-05-30T19:57:45.000Z,Clair Sterrick
One Foot in Heaven,product,1932,2020-05-22T07:00:29.000Z,Sloane Smale
"Town is Quiet, The (Ville est tranquille, La)",client-driven,1888,2020-04-01T16:45:08.000Z,Mari Walmsley
Microcosmos (Microcosmos: Le peuple de l'herbe),Virtual,1910,2020-05-15T00:56:33.000Z,Zabrina Siret
Valley of Head Hunters,Multi-lateral,1951,2020-04-27T09:29:45.000Z,Eachelle Hulls
Naked Weapon (Chek law dak gung),utilisation,2015,2020-04-29T06:43:46.000Z,Care Gregolin
Young Goethe in Love,fresh-thinking,1901,2020-04-18T03:47:58.000Z,Nikki Beasleigh
To Die Like a Man (Morrer Como Um Homem),monitoring,1902,2020-04-22T00:18:44.000Z,Linc Knowlman
Jessie James Meets Frankenstein's Daughter,Synergistic,1932,2020-04-04T16:50:50.000Z,Trudi Banat
Suicide Killers,eco-centric,1978,2020-04-26T11:21:33.000Z,Traver Baston
Butch and Sundance: The Early Days,customer loyalty,1957,2020-04-08T23:22:33.000Z,Irena Doolan
Berserk: The Golden Age Arc 3 - Descent,Reactive,1967,2020-04-28T21:35:35.000Z,Tony Derisly
"Black Sleep, The",Exclusive,2002,2020-05-18T18:43:51.000Z,Tallie Goggin
Dead Alive (Braindead),Cross-platform,1956,2020-04-05T13:11:55.000Z,Rasia Sappson
Almost 18,bi-directional,1906,2020-04-20T04:36:59.000Z,Otha Woollacott
Glitter,focus group,1905,2020-04-23T20:47:31.000Z,Cody Ardley
Friends of God: A Road Trip with Alexandra Pelosi,dedicated,1898,2020-04-08T17:42:41.000Z,Audra Barrington
Fine-Tune,Focused,1913,2020-04-11T19:20:58.000Z,Sascha Alexsandrovich
Dragonwyck,Networked,1895,2020-04-11T20:15:10.000Z,Padraic Coghlin
Air Force,website,1946,2020-04-22T03:02:09.000Z,Farrand Propper
Three on a Weekend,approach,1893,2020-05-15T07:16:39.000Z,Fallon Arthurs
That Lady in Ermine,eco-centric,1949,2020-05-16T11:27:37.000Z,Lucinda Drinkall
Time of Roses (Ruusujen aika),human-resource,1890,2020-04-18T02:35:41.000Z,Wyn Leteurtre
Her Alibi,Multi-tiered,1968,2020-04-08T22:33:48.000Z,Leighton Jansik
Final Destination 2,real-time,1993,2020-05-10T17:49:46.000Z,Olva Fronsek
"I Am Taraneh, I Am Fifteen Years Old (Man, taraneh, panzdah sal daram)",Compatible,1975,2020-04-25T02:18:03.000Z,Kienan Snalham
Reality Bites,access,2005,2020-05-09T13:27:47.000Z,Konstantine Sworn
Ong-Bak 3: The Final Battle (Ong Bak 3),monitoring,1952,2020-05-01T17:42:49.000Z,Maxie Raitie
Kicked in the Head,Re-contextualized,1920,2020-05-11T05:09:57.000Z,York Tofts
Wild in the Streets,workforce,1996,2020-05-24T13:46:33.000Z,Kellsie Hanshawe
Norman,foreground,1908,2020-05-11T04:13:48.000Z,Joceline Maidment
Blow Out,Operative,1940,2020-05-12T03:09:41.000Z,Linus Cruce
Witness for the Prosecution,architecture,1950,2020-05-13T02:33:28.000Z,Katharine Preene
"Front Line, The (Go-ji-jeon)",multimedia,1911,2020-04-25T12:16:51.000Z,Petronille Parton
"Birdsong (Cant dels ocells, El)",high-level,1962,2020-04-29T09:11:54.000Z,Dniren Finders
"Chambermaid on the Titanic, The (Femme de chambre du Titanic, La)",moratorium,1938,2020-05-11T15:53:52.000Z,Arvin Borgnet
"Separation, The (Séparation, La)",fresh-thinking,1902,2020-05-14T15:41:59.000Z,Reagen Mitchelmore
"Fourth Angel, The",time-frame,2017,2020-04-14T03:00:16.000Z,Petrina Hibbart
It's All About Love,Progressive,2004,2020-05-29T05:47:20.000Z,Abe Stratley
Wild River,synergy,1945,2020-05-22T04:41:09.000Z,Hendrick Driver
Pavilion of Women,database,2019,2020-04-10T04:23:32.000Z,Eleonora Hember
Trois,human-resource,1979,2020-03-31T05:49:06.000Z,Lynn Reisk
King of Germany,homogeneous,1896,2020-05-15T17:09:04.000Z,Dionysus Siddall
"Children of Leningradsky, The",Cloned,1961,2020-04-04T05:15:11.000Z,Loella Gierardi
Schwarze Sonne,directional,1967,2020-05-06T06:20:07.000Z,Beryl Skelton
Music in the Air,Persevering,1944,2020-04-12T22:35:41.000Z,Gunilla Morgon
Happy End,info-mediaries,1902,2020-05-26T18:01:17.000Z,Carroll Luckham
"Sea Hawk, The",encoding,1955,2020-04-28T04:59:38.000Z,Erena Rudolfer
Tomorrow We Move (Demain on déménage),demand-driven,2013,2020-04-07T19:07:19.000Z,Quinn Lethibridge
Queen of Montreuil,database,1933,2020-05-19T14:57:03.000Z,Brita McHardy
Turning Tide (En solitaire),leading edge,1986,2020-04-27T16:30:06.000Z,Ewart Mainson
Fallen Angel,background,1922,2020-04-13T14:13:48.000Z,Milt Verick
I Drink Your Blood,background,1945,2020-05-13T21:45:17.000Z,Doloritas Beaulieu
Dying of Laughter (Muertos de Risa),hub,1913,2020-05-16T07:13:52.000Z,Karrah Fawthorpe
Vice Squad,Right-sized,1954,2020-04-17T10:13:58.000Z,Ceciley Gladbach
Batman Returns,bi-directional,1890,2020-05-25T23:55:35.000Z,Melosa Vittery
Raw Deal,5th generation,1956,2020-04-11T14:04:25.000Z,Dion Floyed
Deathtrap,Enhanced,1940,2020-05-30T18:44:58.000Z,Carie Gorler
Focus,4th generation,1920,2020-05-08T10:53:50.000Z,Arnuad Osboldstone
"Henry V (Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France, The)",Diverse,1894,2020-04-16T15:08:35.000Z,Hammad Hartzog
Performance,system-worthy,1962,2020-04-05T03:03:47.000Z,Anabella Cleall
"Kid & I, The",Integrated,1959,2020-05-10T01:44:49.000Z,Bebe Enrico
Patton Oswalt: Finest Hour,artificial intelligence,1889,2020-05-13T13:43:02.000Z,Rey Folini
Let's Be Cops,Synchronised,2011,2020-04-28T16:51:19.000Z,Aldus Ruxton
G.I. Joe: The Rise of Cobra,Realigned,2014,2020-05-11T00:06:55.000Z,Marillin Pollack
"Assault, The (Aanslag, De)",explicit,1906,2020-05-15T23:50:58.000Z,Taddeo Bilbrey
Milka - A Film About Taboos (Milka - elokuva tabuista),Decentralized,1921,2020-05-22T16:09:00.000Z,Maiga Stocky
Little Birds,Centralized,1979,2020-05-30T01:13:49.000Z,Erminia Pond
"Terror Beneath the Sea, The (Kaitei daisensô)",challenge,1997,2020-05-03T15:50:30.000Z,Harmonia Mattschas
"Coast Guard, The (Hae anseon)",Advanced,1990,2020-04-10T20:54:43.000Z,Elke Freda
Always for Pleasure,infrastructure,1943,2020-05-19T04:32:30.000Z,Fair Robecon
Out of the Blue,algorithm,1940,2020-04-13T13:11:28.000Z,Silvie Morad
"Tillman Story, The",structure,1890,2020-04-22T03:24:13.000Z,Reinhold Noyes
Redbelt,Reverse-engineered,1975,2020-04-10T08:25:18.000Z,Marianne Winwood
Valmont,tangible,2010,2020-05-18T16:25:29.000Z,Genvieve Suatt
"Kindred, The",grid-enabled,2019,2020-05-24T15:13:39.000Z,Trey Annear
"Immature, The (Immaturi)",maximized,2009,2020-04-02T23:42:05.000Z,Carma Littley
Two Brothers (Deux frères),hardware,1934,2020-04-01T12:53:51.000Z,Duke Pfeiffer
Wanted! (Nachbarinnen),ability,2005,2020-05-08T11:48:59.000Z,Pearline Michelotti
Rumble Fish,Right-sized,1919,2020-05-05T18:46:24.000Z,Giustino Balducci
Meet the Feebles,modular,1889,2020-04-06T13:53:45.000Z,Violet Otridge
"Man Who Knew Too Much, The",info-mediaries,1971,2020-05-19T14:00:03.000Z,Elinore Twining
Once Upon a Time in the West (C'era una volta il West),reciprocal,1928,2020-05-30T05:10:18.000Z,Mycah Swinnard
Craig Ferguson: A Wee Bit o' Revolution,Re-contextualized,1939,2020-05-19T10:26:44.000Z,Carol-jean Portman
The Fox & the Child,portal,1924,2020-04-06T05:04:20.000Z,Olin Wandrach
Pool of London,upward-trending,1903,2020-05-26T13:55:08.000Z,Hasheem Crooke
Seven Days in Utopia,grid-enabled,1890,2020-04-20T01:50:13.000Z,Ethelred Toomey
Mountain Patrol (Kekexili),exuding,1947,2020-04-29T19:28:04.000Z,Sidonia Franks
"Eye Above the Well, The (Het oog boven de put)",radical,1908,2020-04-07T06:41:11.000Z,Nollie Rubinsztein
Village People Radio Show (Apa khabar orang kampung),access,1891,2020-05-26T01:17:13.000Z,Rees Brolechan
"Union, The",Stand-alone,1956,2020-04-04T21:46:54.000Z,Shanda Prandy
"Circle of Deception, A",internet solution,1987,2020-05-08T13:40:02.000Z,Salomone Studart
Cleopatra,Inverse,1977,2020-05-16T00:13:57.000Z,Biddie Raubenheim
Blues in the Night,product,1971,2020-05-30T02:23:48.000Z,Roland Reyes
"Castle of Cloads, The (Pilvilinna)",Reduced,1985,2020-04-24T10:16:29.000Z,Sunny Jahnisch
Persona,Seamless,2020,2020-04-10T08:35:16.000Z,Glori Byas
Under the Domim Tree (Etz Hadomim Tafus),systemic,1951,2020-05-23T18:35:03.000Z,Jeanna Gifkins
Topsy-Turvy,projection,2015,2020-04-24T11:47:32.000Z,Yalonda Klaassens
The Adventures of Tartu,model,1963,2020-05-13T08:42:12.000Z,Vassily Antonnikov
101 Dalmatians II: Patch's London Adventure,Customer-focused,1953,2020-04-11T20:32:02.000Z,Terrell Bows
Northfork,dynamic,1947,2020-04-28T01:07:35.000Z,Ginevra Fitzsimons
Land of Plenty (Angst and Alienation in America),human-resource,2017,2020-05-05T09:52:32.000Z,Sullivan Winsom
Frisco Jenny,Cross-group,1987,2020-04-18T04:50:47.000Z,Rad Duncklee
Louie Bluie,zero tolerance,1982,2020-04-17T16:03:34.000Z,Glen Learmonth
I Shot a Man in Vegas,Multi-layered,2006,2020-05-14T04:26:54.000Z,Kimberly Guerner
The Last Five Years,pricing structure,1981,2020-05-28T00:16:45.000Z,Nadiya Kunes
Coup de grâce (Der Fangschuß),architecture,1895,2020-04-20T16:10:51.000Z,Violette Nyssen
Sherlock Holmes in Washington,tangible,1910,2020-04-20T04:25:18.000Z,Burke Mounter
Jailbait,interactive,1949,2020-04-20T07:35:00.000Z,Genni Sijmons
"Business of Strangers, The",Progressive,1905,2020-05-13T19:14:51.000Z,Kalli Mallatratt
Friend Zone (Pagafantas),exuding,1937,2020-05-21T07:03:10.000Z,Nyssa Pavese
Children of the Secret State,Open-source,1917,2020-04-29T15:32:41.000Z,Sky Disney
Fair Game,methodology,2017,2020-04-18T01:57:17.000Z,Walden Pettican
Storyville,intranet,1899,2020-03-31T09:55:52.000Z,Vince Measom
Forbidden,paradigm,1973,2020-04-21T16:47:13.000Z,Fawnia Cuskery
"Dam Busters, The",matrices,2000,2020-04-18T18:50:19.000Z,Karolina Woodyatt
Blind Date,Programmable,1902,2020-04-15T04:30:35.000Z,Kathryn Goulden
Identity,bifurcated,1909,2020-05-06T13:44:29.000Z,Ralina Goldstone
Crazy as Hell,product,1890,2020-05-03T22:34:13.000Z,Angela Marklow
Sleeping Beauty,global,2005,2020-05-08T02:05:29.000Z,Carmelita Scarsbrook
Lady Killer,Operative,1962,2020-04-06T05:43:45.000Z,Marketa Titchener
Suburbia,24 hour,1889,2020-05-19T00:31:27.000Z,Lind Vaudre
"Walker, The",optimizing,1963,2020-04-12T02:52:13.000Z,Janine Scouse
"Stranger in Town, A",Persevering,1982,2020-05-12T04:09:28.000Z,Windy Corzor
"Young and the Damned, The (Olvidados, Los)",client-server,1967,2020-04-04T12:07:06.000Z,Regan Dursley
"301, 302 (301/302)",Function-based,2001,2020-04-19T18:55:30.000Z,Fin Hiner
Son of Babylon (Syn Babilonu),help-desk,1908,2020-05-08T17:37:21.000Z,Percy Bow
Slumber Party Massacre II,optimal,1911,2020-05-28T06:34:34.000Z,Verge Pethybridge
Caravaggio,Automated,1985,2020-04-25T15:45:52.000Z,Claudian Allcock
Standing Still,Intuitive,1996,2020-04-19T16:23:04.000Z,Gilemette Keeves
Seeking Justice,attitude,1895,2020-05-24T11:33:40.000Z,Georgia Classen
"Two Women (Ciociara, La)",object-oriented,1981,2020-05-28T07:54:16.000Z,Fabiano Koopman
Take Me Out to the Ball Game,Sharable,1906,2020-04-25T19:29:07.000Z,Ealasaid Gartell
Dischord,support,1958,2020-04-19T05:39:48.000Z,Dimitry Ausello
Fando and Lis (Fando y Lis),Intuitive,1909,2020-04-17T10:14:17.000Z,Willie MacDermott
Police Academy 3: Back in Training,Advanced,1937,2020-04-07T15:52:38.000Z,Roseline Harsnipe
Chasing Ghosts: Beyond the Arcade ,conglomeration,1890,2020-05-24T01:36:47.000Z,Eydie Caldicot
Two-Lane Blacktop,local area network,1981,2020-04-26T03:17:27.000Z,Keelia Escale
"Colour of Magic, The (Terry Pratchett's The Colour of Magic)",content-based,1922,2020-04-22T16:19:57.000Z,Peirce Pentin
Farsan,hub,1917,2020-05-29T22:27:45.000Z,Don Barz
Miss Representation,frame,2015,2020-05-05T01:57:58.000Z,Alvis Latta
"Bounty, The",mission-critical,1945,2020-04-12T18:28:36.000Z,Martina Daintry
D.A.R.Y.L.,Open-source,1888,2020-05-15T04:40:22.000Z,Maxi Siggin
Chicago,migration,2010,2020-05-08T14:25:35.000Z,Nollie Chapiro
"Lion in Winter, The",Synergized,1922,2020-04-14T03:14:04.000Z,Beryl Van Arsdale
Thank You a Lot,context-sensitive,1943,2020-05-18T14:08:55.000Z,Bennett Doig
"Dinner Game, The (Dîner de cons, Le)",cohesive,1888,2020-05-16T11:34:42.000Z,Dedie Heild
Beyond the Lights,algorithm,1897,2020-04-11T20:31:03.000Z,Linnell Ebdon
Two Men in Manhattan (Deux hommes dans Manhattan),transitional,1982,2020-04-19T03:41:47.000Z,Phillipp Guillotin
Class of Nuke 'Em High Part II: Subhumanoid Meltdown,structure,1923,2020-04-08T06:51:36.000Z,Dionis Tommasetti
Odd Girl Out,infrastructure,2004,2020-04-23T16:24:37.000Z,Elberta Paal
No Exit (Huis clos),encompassing,1976,2020-05-21T05:12:40.000Z,Ches Gwyllt
Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da),object-oriented,1971,2020-05-16T05:14:48.000Z,Sandy Whiten
Free Money,Function-based,1987,2020-04-02T13:27:10.000Z,Raquel Marsy
"Crazy Stranger, The (Gadjo Dilo)",complexity,1926,2020-05-30T16:54:46.000Z,Adrienne Million
"Mercredi, folle journée!",success,1896,2020-04-09T02:10:24.000Z,Laureen Idwal Evans
Tokyo Joe,User-centric,1971,2020-04-29T02:24:30.000Z,Martino Filyushkin
Born to Be Wild,synergy,1991,2020-04-07T07:23:27.000Z,Humbert McRannell
Jug Face,Upgradable,1976,2020-04-27T03:22:57.000Z,Kellen Polkinghorne
Rated X,policy,1952,2020-04-19T18:39:38.000Z,Lishe Ficken
What's Eating Gilbert Grape,analyzer,1989,2020-05-24T09:02:34.000Z,Elnore Frantzen
The Man They Could Not Hang,attitude-oriented,1961,2020-05-22T13:03:56.000Z,Kathlin Moizer
Love the Hard Way,interactive,1908,2020-05-10T04:05:26.000Z,Billie Corpe
Antoine and Colette (Antoine et Colette),neural-net,1937,2020-04-15T07:47:50.000Z,Erminie Rideout
"Waiting Room, The",capability,1932,2020-05-23T07:34:01.000Z,Jock Muzzullo
Caterina in the Big City (Caterina va in città),impactful,2015,2020-04-06T12:33:59.000Z,Rupert O'Cannon
Secrets,benchmark,2015,2020-05-03T09:12:25.000Z,Allianora Chastey
My Super Ex-Girlfriend,systemic,1988,2020-05-24T04:59:41.000Z,Leena Labes
Odd Girl Out,Streamlined,2007,2020-04-03T17:14:05.000Z,Marjy Wilding
Cat Soup (Nekojiru-so),flexibility,1993,2020-05-18T14:09:01.000Z,Ysabel Rickertsen
Confetti,application,1914,2020-05-04T10:02:33.000Z,Shani Acklands
Late Marriage (Hatuna Meuheret),User-centric,2004,2020-04-15T19:15:50.000Z,Lynea Marchington
Philomena,empowering,2000,2020-05-28T19:19:10.000Z,Zollie Messer
Dead Meat,Compatible,1971,2020-04-05T05:53:30.000Z,Parry Davidman
Triangle,Stand-alone,1890,2020-04-28T11:53:35.000Z,Marne Dowthwaite
"Goat, The",radical,1905,2020-05-01T15:01:41.000Z,Mariska Haggas
Coyote Ugly,Secured,1938,2020-05-12T00:29:53.000Z,Clary Crim
Hilton!,mobile,1997,2020-05-09T05:05:44.000Z,Dan Roft
Tongan Ninja,Decentralized,1950,2020-04-19T05:38:27.000Z,Filippo Wressell
Prêt à tout,Programmable,2016,2020-05-12T09:59:35.000Z,Genvieve Antuoni
Drowning by Numbers,knowledge user,1944,2020-04-13T02:48:52.000Z,Doyle Brigstock
"Illusion Travels by Streetcar (Ilusión viaja en tranvía, La)",system-worthy,1990,2020-05-29T19:04:19.000Z,Darcey Emmins
South of the Border,dedicated,2019,2020-04-29T03:23:32.000Z,Boris Hutchins
How Much Wood Would a Woodchuck Chuck (Beobachtungen zu einer neuen Sprache),parallelism,1961,2020-05-13T15:05:00.000Z,Marline Donkersley
Kazaam,contingency,1988,2020-04-20T04:00:03.000Z,Leia Haxbie
Brooklyn's Finest,User-centric,1916,2020-04-29T03:37:05.000Z,Kristyn Legister
Love,intranet,1997,2020-05-17T21:13:28.000Z,Thorndike Rayman
Elizabeth,6th generation,2015,2020-04-15T03:28:09.000Z,Nanice O'Henecan
Cannibal Women in the Avocado Jungle of Death,hub,1960,2020-04-30T23:05:46.000Z,Junie Brideau
Cowards Bend the Knee (a.k.a. The Blue Hands),circuit,1935,2020-05-21T05:50:22.000Z,Tawsha Farleigh
Closing the Ring,systematic,1889,2020-04-30T22:07:00.000Z,Hetty Gillice
10 Years,Ameliorated,1917,2020-05-25T05:57:06.000Z,Pepi Tripet
Outlaw Blues,Operative,2020,2020-05-29T03:45:06.000Z,Olenka Myers
"End of Violence, The",neutral,1999,2020-04-24T04:21:15.000Z,Wren Pizer
"Chef in Love, A (Shekvarebuli kulinaris ataserti retsepti)",Inverse,1958,2020-05-13T10:34:48.000Z,Kinnie Thurley
Chicken Little,pricing structure,1932,2020-04-03T18:23:21.000Z,Edvard Dunkerley
Fail Safe,full-range,1927,2020-04-27T16:50:56.000Z,Helaine Armsby
Hide Your Smiling Faces,Reactive,1900,2020-05-05T00:55:31.000Z,Trefor McFie
"Letter, The (La lettre)",4th generation,1891,2020-05-22T04:05:54.000Z,Sanderson McNelly
Billy Jack,data-warehouse,1986,2020-05-28T07:28:34.000Z,Dun Novotni
Pigsty (Porcile),systemic,1922,2020-05-27T11:02:13.000Z,Jolyn Blaze
Stalag 17,object-oriented,1926,2020-04-10T21:37:09.000Z,Hunter McKenna
Bit by Bit,Multi-layered,2014,2020-05-15T22:40:10.000Z,Cart Frackiewicz
Long Day's Journey Into Night,Intuitive,1895,2020-04-29T09:39:20.000Z,Rodrigo Kimmins
Sixtynine,grid-enabled,1992,2020-05-24T16:13:48.000Z,Isabelita Brusin
Captain January,secondary,1930,2020-04-11T12:55:43.000Z,Leora Crean
"Cemetery Club, The",forecast,1904,2020-04-25T17:20:43.000Z,Nathalia Pentland
10 Rillington Place,Enterprise-wide,1941,2020-05-02T22:26:56.000Z,Theo Otto
